id	ip	whitelist_id	site_name	site_id	Username	jira_ticket
67595	52.36.141.231/32	12425104	test.appdirect.com	1849389	NULL	NULL
67596	203.130.249.100/32	12425104	test.appdirect.com	1849389	NULL	NULL
67597	52.3.183.120/32	12425104	test.appdirect.com	1849389	NULL	NULL
67598	40.78.3.182/32	12425104	test.appdirect.com	1849389	NULL	NULL
67599	193.113.57.20/32	12425104	test.appdirect.com	1849389	NULL	NULL
67600	13.69.80.176/32	12425104	test.appdirect.com	1849389	NULL	NULL
67601	34.213.201.254/32	12425104	test.appdirect.com	1849389	NULL	NULL
67602	103.23.64.8/29	12425104	test.appdirect.com	1849389	NULL	NULL
67603	218.185.55.0/26	12425104	test.appdirect.com	1849389	NULL	NULL
67604	34.195.146.191/32	12425104	test.appdirect.com	1849389	NULL	NULL
67605	18.184.149.152	12425104	test.appdirect.com	1849389	NULL	NULL
67606	54.92.60.91/32	12425104	test.appdirect.com	1849389	NULL	NULL
67607	50.58.244.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67608	217.5.129.98/32	12425104	test.appdirect.com	1849389	NULL	NULL
67609	62.14.238.52/32	12425104	test.appdirect.com	1849389	NULL	NULL
67610	126.0.0.0/8	12425104	test.appdirect.com	1849389	NULL	NULL
67611	68.232.192.0/20	12425104	test.appdirect.com	1849389	NULL	NULL
67612	108.61.209.12/32	12425104	test.appdirect.com	1849389	NULL	NULL
67613	52.52.95.213/32	12425104	test.appdirect.com	1849389	NULL	NULL
67614	104.155.126.89/32	12425104	test.appdirect.com	1849389	NULL	NULL
67615	137.74.151.242/32	12425104	test.appdirect.com	1849389	NULL	NULL
67616	52.52.72.40/32	12425104	test.appdirect.com	1849389	NULL	NULL
67617	23.22.136.103/32	12425104	test.appdirect.com	1849389	NULL	NULL
67618	91.204.13.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67619	45.79.136.181/32	12425104	test.appdirect.com	1849389	NULL	NULL
67620	34.212.7.28/32	12425104	test.appdirect.com	1849389	NULL	NULL
67621	207.140.48.106/32	12425104	test.appdirect.com	1849389	NULL	NULL
67622	122.183.21.66/32	12425104	test.appdirect.com	1849389	NULL	NULL
67623	40.78.2.143/32	12425104	test.appdirect.com	1849389	NULL	NULL
67624	87.246.78.46/32	12425104	test.appdirect.com	1849389	NULL	NULL
67625	162.148.0.0/14	12425104	test.appdirect.com	1849389	NULL	NULL
67626	82.159.139.236/32	12425104	test.appdirect.com	1849389	NULL	NULL
67627	50.226.166.98/32	12425104	test.appdirect.com	1849389	NULL	NULL
67628	99.228.216.216/32	12425104	test.appdirect.com	1849389	NULL	NULL
67629	213.27.216.170/32	12425104	test.appdirect.com	1849389	NULL	NULL
67630	52.48.244.35/32	12425104	test.appdirect.com	1849389	NULL	NULL
67631	165.225.35.15/32	12425104	test.appdirect.com	1849389	NULL	NULL
67632	67.70.95.10/32	12425104	test.appdirect.com	1849389	NULL	NULL
67633	195.233.250.0/23	12425104	test.appdirect.com	1849389	NULL	NULL
67634	90.190.110.160/29	12425104	test.appdirect.com	1849389	NULL	NULL
67635	94.236.61.92/32	12425104	test.appdirect.com	1849389	NULL	NULL
67636	203.90.234.144/28	12425104	test.appdirect.com	1849389	NULL	NULL
67637	71.237.184.196/32	12425104	test.appdirect.com	1849389	NULL	NULL
67638	179.209.51.13/32	12425104	test.appdirect.com	1849389	NULL	NULL
67639	111.93.188.66/32	12425104	test.appdirect.com	1849389	NULL	NULL
67640	13.78.84.187/32	12425104	test.appdirect.com	1849389	NULL	NULL
67641	52.220.191.0/26	12425104	test.appdirect.com	1849389	NULL	NULL
67642	190.2.24.225/32	12425104	test.appdirect.com	1849389	NULL	NULL
67643	202.167.250.82/32	12425104	test.appdirect.com	1849389	NULL	NULL
67644	52.174.239.81/32	12425104	test.appdirect.com	1849389	NULL	NULL
67645	52.209.34.226/32	12425104	test.appdirect.com	1849389	NULL	NULL
67646	18.196.192.91/32	12425104	test.appdirect.com	1849389	NULL	NULL
67647	204.176.204.135/32	12425104	test.appdirect.com	1849389	NULL	NULL
67648	65.154.70.65/32	12425104	test.appdirect.com	1849389	NULL	NULL
67649	212.183.205.42/32	12425104	test.appdirect.com	1849389	NULL	NULL
67650	104.18.248.37/32	12425104	test.appdirect.com	1849389	NULL	NULL
67651	162.248.187.240/29	12425104	test.appdirect.com	1849389	NULL	NULL
67652	62.91.27.94/32	12425104	test.appdirect.com	1849389	NULL	NULL
67653	4.7.195.16/28	12425104	test.appdirect.com	1849389	NULL	NULL
67654	194.106.154.176/29	12425104	test.appdirect.com	1849389	NULL	NULL
67655	162.248.184.8/29	12425104	test.appdirect.com	1849389	NULL	NULL
67656	185.243.26.86/32	12425104	test.appdirect.com	1849389	NULL	NULL
67657	204.176.204.136/32	12425104	test.appdirect.com	1849389	NULL	NULL
67658	118.97.64.0/19	12425104	test.appdirect.com	1849389	NULL	NULL
67659	200.124.194.230/31	12425104	test.appdirect.com	1849389	NULL	NULL
67660	52.87.17.117/32	12425104	test.appdirect.com	1849389	NULL	NULL
67661	165.225.106.56/32	12425104	test.appdirect.com	1849389	NULL	NULL
67662	35.166.141.106/32	12425104	test.appdirect.com	1849389	NULL	NULL
67663	64.207.219.192/27	12425104	test.appdirect.com	1849389	NULL	NULL
